Title,Rating
811. Red Sonja,4.2
812. Assassin,4.2
813. The Cloverfield Paradox,4.2
814. Mile 22,4.2
815. Way Down,4.2
816. Independence Day: Resurgence,4.2
817. Chip 'n Dale: Rescue Rangers,4.2
818. Old Henry,4.2
819. Maze Runner: The Death Cure,4.2
820. How to Train Your Dragon 2,4.2
821. Bad Boys for Life,4.2
822. The Matrix Revolutions,4.2
823. Death Race,4.2
824. The Roundup: No Way Out,4.2
825. No Way Out,4.2
826. Super,4.2
827. Now You See Me 2,4.2
828. Venom 3,4.2
829. Kisi Ka Bhai Kisi Ki Jaan,4.2
830. Tears of the Sun,4.2
831. The Girl in the Spider's Web,4.2
832. Shadow in the Cloud,4.2
833. Airport 1975,4.2
834. Hollow Man,4.2
835. Operation Crossbow,4.2
836. Every Which Way But Loose,4.2
837. Die Hart,4.2
838. Spectral,4.2
839. Snake Eyes: G.I. Joe Origins,4.2
840. Godzilla,4.2
841. Hancock,4.2
842. Live and Let Die,4.2
843. Angels & Demons,4.2
844. Friday Night Lights,4.2
845. Clash of the Titans,4.2
846. Boon,4.2
847. Batgirl,4.2
848. Yaathisai,4.2
849. Rambo,4.2
850. Yoga Hosers,4.2
851. The Kingdom,7
852. Team America: World Police,7
853. Speed Racer,7
854. Grindhouse,7
855. Revenge,7
856. Lara Croft: Tomb Raider,7
857. Maze Runner: The Scorch Trials,7
858. Sands of Iwo Jima,7
859. Akinjeon,7
860. Rush Hour 2,7
861. Manyeo,7
862. Transformers One,7
863. The Next Three Days,7
864. Monster Hunter,7
865. Buffy the Vampire Slayer,7
866. I Am Number Four,7
867. Assassin's Creed,7
868. The Electric State,7
869. Night Teeth,7
870. Die Another Day,7
871. Tora! Tora! Tora!,7
872. The Scorpion King,7
873. The Lego Movie 2: The Second Part,7
874. Journey 2: The Mysterious Island,7
875. Hot Shots!,7
876. In the Shadow of the Moon,7
877. Journey to the Center of the Earth,7
878. Into the Blue,7
879. Miss Congeniality,7
880. Dante's Peak,7
881. The Interview,7
882. 30 Days of Night,7
883. Die Hard with a Vengeance,7
884. Midnight Run,7
885. Bad Boys 4,7
886. The Beastmaster,7
887. Star Trek II: The Wrath of Khan,7
888. American Assassin,7
889. Superman II,7
890. Rocky Balboa,7
891. Interceptor,7
892. Swordfish,7
893. Epic,7
894. Walking Tall,7
895. Overlord,7
896. Rush Hour 3,7
897. The Bad Batch,7
898. Robin Hood,7
899. Crocodile Dundee II,7
900. Chronicle,7
901. The Time Machine,6.2
902. The Informer,6.2
903. Over the Top,6.2
904. Deja Vu,6.2
905. Unhinged,6.2
906. Fallen,6.2
907. Allegiant,6.2
908. Crawl,6.2
909. Time Trap,6.2
910. Legion of Super-Heroes,6.2
911. Body of Lies,6.2
912. Wolves,6.2
913. The Man in the Iron Mask,6.2
914. The Last Boy Scout,6.2
915. Jumper,6.2
916. Monsters vs. Aliens,6.2
917. Jungle,6.2
918. R.I.P.D. 2: Rise of the Damned,6.2
919. Patriot Games,6.2
920. Bonnie and Clyde,6.2
921. Lifeforce,6.2
922. Adipurush,6.2
923. Flushed Away,6.2
924. Backdraft,6.2
925. Chillerama,6.2
926. A View to a Kill,6.2
927. The Spiderwick Chronicles,6.2
928. Tango & Cash,6.2
929. Rat Race,6.2
930. The Sum of All Fears,6.2
931. RoboCop 2,6.2
932. London Has Fallen,6.2
933. Thunderball,6.2
934. Kung Fu Panda 2,6.2
935. Avatar 3,6.2
936. Machete,6.2
937. The Finest Hours,6.2
938. Insurgent,6.2
939. Anthropoid,6.2
940. Savages,6.2
941. Without Remorse,6.2
942. Athena,6.2
943. Pan,6.2
944. Predators,6.2
945. Road House,6.2
946. Bright,6.2
947. Crank,6.2
948. Hellboy II: The Golden Army,6.2
949. AVP: Alien vs. Predator,6.2
950. Eraser,6.2
951. Nerve,6.6
952. Colombiana,6.6
953. Star Trek VI: The Undiscovered Country,6.6
954. The French Connection,6.6
955. Attack the Block,6.6
956. Haywire,6.6
